Address,Postcode, Price
"51 Kennerley Road, Yardley",B25 8LS,£6.00,514,642
"Scorex House East, 3 Bolton Road, Bradford",BD1 4AN,£727.00,161
"8 Devonia House, The Maltings, Weston-Super-Mare",BS22 6JB,£216.00,34
"22 Dudley Road, Cambridge",CB5 8PJ,£132.00,540
"128 Thingwall Road, Wirral",CH61 3UQ,£433.00,814
"1 Purlieu Way, Theydon Bois",CM16 7ED,£805.00,5
"232 Ashbourne Road, Mitcham",CR4 2DR,£6.00,674,325
"22 Charlton Gardens, Coulsdon",CR5 1AS,£755.00,445
"4 William House, Princes Crescent, Margate",CT9 1JY,£866.00,575
"297 London Road, Greenhithe",DA9 9LA,£78.00,488
"9 Stanier Drive, Hartshorne",DE11 7FE,£110.00,578
"6 Parkin Road, Scunthorpe",DN17 2QT,£463.00,233
"3 Marian Mews, Enfield",EN2 8GD,£476.00,685
"6 Coronation Place, Shebbear",EX21 5SQ,£366.00,583
"27 Silvester Way, Church Crookham",GU52 0RG,£271.00,122
"93 Blackhouse Road, Huddersfield",HD2 1AP,£706.00,182
"The Olde Shoppee, Main Street, Kirkby Malzeard",HX4 3SD,£21.00,311
"2 Paradise, Luddendenfoot",HX4 6XF,£172.00,158
"2 Myrtle Grove, Barkisland",HX4 0EG,£136.00,531
"259 Eastern Avenue, Ilford",IG4 5AT,£884.00,27
"34 Belvedere Gardens, West Molesey",KT8 2TD,£535.00,50
"26 Acer Leigh, Liverpool",L17 5BN,£4.00,258,572
"2 Salem Chapel, Castle Place, Abergele",LL22 7AX,£485.00,400
"Tyn Refail, Penysarn",LL22 9YD,£343.00,326
"118 St Bernards Avenue, Louth",LN11 8AT,£258.00,855
"12 Park Road, Granborough",MK18 3NS,£422.00,440
"Rose Cottage, Ellingham",NE67 5ET,£662.00,157
"Flat 60, The Gate House, 354 Sea Front, Hayling Island",PO11 0AT,£541.00,167
"95B High Street, Ventnor",PO38 1LY,£235.00,403
"Top Floor Flat, 103 Fawcett Road, Southsea",PO4 0DF,£474.00,221
"8 Siskin Grove, Waterlooville",PO4 8HW,£513.00,783
"2 Hope Street, Adlington",PR6 9PS,£122.00,757
"Pathways, The Wells, North Anston",S25 4ED,£2.00,841
"73 The Crescent East, Sunnyside",S66 3QY,£867.00,770
"15 Cannon Street, Lower Brynamman",SA18 1TW,£20.00,125
"6 The Meadows, Kilgetty",SA18 0SB,£2.00,655
"24 Minyffordd, Ystalyfera",SA9 2ES,£235.00,688
"Broomin Green Farm, Maxwell Road, Stevenage",SG1 2EP,£602.00,815
"1 Hornbeam Spring, Knebworth",SG3 6AX,£436.00,135
"2 Burton Drive, Poynton",SK12 1AA,£171.00,853
"29 Honeysuckle Close, Winchester",SO22 4QQ,£861.00,751
"7 Little Chittock, Basildon",SS14 1RN,£628.00,247
"32 Milltown Way, Leek",ST13 5SZ,£231.00,413
"14 Uplands Drive, Werrington",ST9 0LG,£550.00,732
"16 Bussex Square, Westonzoyland",TA7 0HD,£232.00,617
"2 Post Office Flats, High Street, Hawkhurst",TN18 4AA,£552.00,206
"15 Ashdown Crescent, New Romney",TN18 8EU,£317.00,220
"10 Rutherglen Walk, Eaglescliffe",TS16 9HE,£384.00,53
"1 Heathcock Court, London",WC2R 0NT,£11.00,37,336
"55 Hutton Road, Cranswick",YO25 9PN,£384.00,767